 spec_symbol , wgt , Genus , species , Taxa 
 DM , 38 , Dipodomys , merriami , Rodent 
 OT , 22 , Onychomys , torridus , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 NA , 153 , Neotoma , albigula , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 PE , 22 , Peromyscus , eremicus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 OT , 28 , Onychomys , torridus , Rodent 
 OL , 28 , Onychomys , leucogaster , Rodent 
 RM , 8 , Reithrodontomys , megalotis , Rodent 
 OL , 34 , Onychomys , leucogaster , Rodent 
 OL , 29 , Onychomys , leucogaster , Rodent 
 OL , 28 , Onychomys , leucogaster , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 NA , 223 , Neotoma , albigula , Rodent 
 OL , 33 , Onychomys , leucogaster , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 RM , 7 , Reithrodontomys , megalotis , Rodent 
 OL , 32 , Onychomys , leucogaster , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 136 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 101 , Dipodomys , spectabilis , Rodent 
 DO , 52 , Dipodomys , ordii , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 OL , 30 , Onychomys , leucogaster , Rodent 
 DO , 44 , Dipodomys , ordii , Rodent 
 OL , 44 , Onychomys , leucogaster , Rodent 
 OL , 27 , Onychomys , leucogaster , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 NA , 181 , Neotoma , albigula , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 OL , 32 , Onychomys , leucogaster , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 DS , 113 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 111 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 NA , 169 , Neotoma , albigula , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 OL , 29 , Onychomys , leucogaster , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DS , 111 , Dipodomys , spectabilis , Rodent 
 OT , 28 , Onychomys , torridus , Rodent 
 OL , 38 , Onychomys , leucogaster , Rodent 
 OL , 32 , Onychomys , leucogaster , Rodent 
 OL , 36 , Onychomys , leucogaster , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DO , 52 , Dipodomys , ordii , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 OL , 46 , Onychomys , leucogaster , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 OL , 31 , Onychomys , leucogaster , Rodent 
 OL , 39 , Onychomys , leucogaster , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 OT , 30 , Onychomys , torridus , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 153 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 OL , 39 , Onychomys , leucogaster , Rodent 
 OL , 32 , Onychomys , leucogaster , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 PE , 26 , Peromyscus , eremicus , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 52 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 OL , 40 , Onychomys , leucogaster , Rodent 
 OL , 37 , Onychomys , leucogaster , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OL , 32 , Onychomys , leucogaster , Rodent 
 DO , 61 , Dipodomys , ordii , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 123 , Dipodomys , spectabilis , Rodent 
 OL , 36 , Onychomys , leucogaster , Rodent 
 DS , 109 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 DO , 48 , Dipodomys , ordii , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 131 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 OL , 30 , Onychomys , leucogaster , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 139 , Dipodomys , spectabilis , Rodent 
 OT , 30 , Onychomys , torridus , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 PM , 26 , Peromyscus , maniculatus , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 PM , 24 , Peromyscus , maniculatus , Rodent 
 DS , 130 , Dipodomys , spectabilis , Rodent 
 DS , 60 , Dipodomys , spectabilis , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 OL , 34 , Onychomys , leucogaster , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 OL , 39 , Onychomys , leucogaster , Rodent 
 PM , 26 , Peromyscus , maniculatus , Rodent 
 DS , 86 , Dipodomys , spectabilis , Rodent 
 DM , 23 , Dipodomys , merriami , Rodent 
 DS , 82 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 PE , 23 , Peromyscus , eremicus , Rodent 
 DM , 54 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 DS , 73 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DO , 29 , Dipodomys , ordii , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DS , 78 , Dipodomys , spectabilis , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DS , 144 , Dipodomys , spectabilis , Rodent 
 DS , 123 , Dipodomys , spectabilis , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DS , 115 , Dipodomys , spectabilis , Rodent 
 DS , 140 , Dipodomys , spectabilis , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 DM , 54 , Dipodomys , merriami , Rodent 
 DO , 49 , Dipodomys , ordii , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DS , 129 , Dipodomys , spectabilis , Rodent 
 DS , 112 , Dipodomys , spectabilis , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DO , 50 , Dipodomys , ordii , Rodent 
 DO , 54 , Dipodomys , ordii , Rodent 
 DS , 58 , Dipodomys , spectabilis , Rodent 
 DM , 55 , Dipodomys , merriami , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 112 , Dipodomys , spectabilis , Rodent 
 DS , 129 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DS , 73 , Dipodomys , spectabilis , Rodent 
 DS , 75 , Dipodomys , spectabilis , Rodent 
 DS , 140 , Dipodomys , spectabilis , Rodent 
 NA , 86 , Neotoma , albigula , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 NA , 239 , Neotoma , albigula , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 DS , 144 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DS , 76 , Dipodomys , spectabilis , Rodent 
 DS , 51 , Dipodomys , spectabilis , Rodent 
 DS , 130 , Dipodomys , spectabilis , Rodent 
 DS , 143 , Dipodomys , spectabilis , Rodent 
 DS , 49 , Dipodomys , spectabilis , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 46 , Dipodomys , spectabilis , Rodent 
 DM , 34 , Dipodomys , merriami , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 PE , 19 , Peromyscus , eremicus , Rodent 
 DS , 143 , Dipodomys , spectabilis , Rodent 
 DS , 85 , Dipodomys , spectabilis , Rodent 
 DS , 63 , Dipodomys , spectabilis , Rodent 
 DO , 51 , Dipodomys , ordii , Rodent 
 OT , 28 , Onychomys , torridus , Rodent 
 NA , 166 , Neotoma , albigula , Rodent 
 PP , 15 , Chaetodipus , penicillatus , Rodent 
 DO , 48 , Dipodomys , ordii , Rodent 
 DS , 67 , Dipodomys , spectabilis , Rodent 
 PE , 13 , Peromyscus , eremicus , Rodent 
 DS , 143 , Dipodomys , spectabilis , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 NA , 126 , Neotoma , albigula , Rodent 
 DS , 97 , Dipodomys , spectabilis , Rodent 
 PM , 18 , Peromyscus , maniculatus , Rodent 
 DS , 61 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 65 , Dipodomys , merriami , Rodent 
 DS , 99 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DS , 135 , Dipodomys , spectabilis , Rodent 
 DS , 92 , Dipodomys , spectabilis , Rodent 
 DS , 95 , Dipodomys , spectabilis , Rodent 
 DM , 27 , Dipodomys , merriami , Rodent 
 NA , 101 , Neotoma , albigula , Rodent 
 DS , 136 , Dipodomys , spectabilis , Rodent 
 NA , 66 , Neotoma , albigula , Rodent 
 DS , 91 , Dipodomys , spectabilis , Rodent 
 NA , 72 , Neotoma , albigula , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 96 , Dipodomys , spectabilis , Rodent 
 DS , 73 , Dipodomys , spectabilis , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 PP , 20 , Chaetodipus , penicillatus , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 75 , Dipodomys , spectabilis , Rodent 
 DS , 76 , Dipodomys , spectabilis , Rodent 
 DS , 62 , Dipodomys , spectabilis , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 DS , 63 , Dipodomys , spectabilis , Rodent 
 NA , 70 , Neotoma , albigula , Rodent 
 DS , 147 , Dipodomys , spectabilis , Rodent 
 DS , 136 , Dipodomys , spectabilis , Rodent 
 DS , 60 , Dipodomys , spectabilis , Rodent 
 DS , 71 , Dipodomys , spectabilis , Rodent 
 DS , 63 , Dipodomys , spectabilis , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DS , 135 , Dipodomys , spectabilis , Rodent 
 NA , 40 , Neotoma , albigula , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DO , 41 , Dipodomys , ordii , Rodent 
 DS , 47 , Dipodomys , spectabilis , Rodent 
 DO , 29 , Dipodomys , ordii , Rodent 
 DS , 66 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 147 , Dipodomys , spectabilis , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 NA , 184 , Neotoma , albigula , Rodent 
 OT , 24 , Onychomys , torridus , Rodent 
 DM , 19 , Dipodomys , merriami , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 OT , 15 , Onychomys , torridus , Rodent 
 DS , 113 , Dipodomys , spectabilis , Rodent 
 DM , 20 , Dipodomys , merriami , Rodent 
 DO , 44 , Dipodomys , ordii , Rodent 
 DS , 88 , Dipodomys , spectabilis , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DS , 101 , Dipodomys , spectabilis , Rodent 
 DO , 40 , Dipodomys , ordii , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 112 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 21 , Dipodomys , merriami , Rodent 
 DS , 105 , Dipodomys , spectabilis , Rodent 
 DS , 140 , Dipodomys , spectabilis , Rodent 
 DS , 107 , Dipodomys , spectabilis , Rodent 
 DS , 123 , Dipodomys , spectabilis , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DS , 93 , Dipodomys , spectabilis , Rodent 
 PP , 20 , Chaetodipus , penicillatus , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 57 , Dipodomys , merriami , Rodent 
 DS , 105 , Dipodomys , spectabilis , Rodent 
 OT , 18 , Onychomys , torridus , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 PF , 9 , Perognathus , flavus , Rodent 
 DS , 96 , Dipodomys , spectabilis , Rodent 
 DS , 143 , Dipodomys , spectabilis , Rodent 
 NA , 94 , Neotoma , albigula , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 DS , 91 , Dipodomys , spectabilis , Rodent 
 DS , 156 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DO , 38 , Dipodomys , ordii , Rodent 
 DS , 86 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 PE , 27 , Peromyscus , eremicus , Rodent 
 DS , 43 , Dipodomys , spectabilis , Rodent 
 DM , 32 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 99 , Dipodomys , spectabilis , Rodent 
 OL , 21 , Onychomys , leucogaster , Rodent 
 DM , 34 , Dipodomys , merriami , Rodent 
 NA , 206 , Neotoma , albigula , Rodent 
 DS , 60 , Dipodomys , spectabilis , Rodent 
 PP , 14 , Chaetodipus , penicillatus , Rodent 
 DM , 27 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 DS , 59 , Dipodomys , spectabilis , Rodent 
 DS , 112 , Dipodomys , spectabilis , Rodent 
 DS , 138 , Dipodomys , spectabilis , Rodent 
 DS , 95 , Dipodomys , spectabilis , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 DS , 70 , Dipodomys , spectabilis , Rodent 
 DS , 110 , Dipodomys , spectabilis , Rodent 
 PP , 10 , Chaetodipus , penicillatus , Rodent 
 DO , 53 , Dipodomys , ordii , Rodent 
 DS , 79 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 PE , 24 , Peromyscus , eremicus , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 DM , 32 , Dipodomys , merriami , Rodent 
 PF , 10 , Perognathus , flavus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DS , 165 , Dipodomys , spectabilis , Rodent 
 NA , 116 , Neotoma , albigula , Rodent 
 DS , 93 , Dipodomys , spectabilis , Rodent 
 PF , 9 , Perognathus , flavus , Rodent 
 DS , 78 , Dipodomys , spectabilis , Rodent 
 PE , 8 , Peromyscus , eremicus , Rodent 
 DS , 80 , Dipodomys , spectabilis , Rodent 
 PF , 6 , Perognathus , flavus , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 99 , Dipodomys , spectabilis , Rodent 
 NA , 151 , Neotoma , albigula , Rodent 
 DS , 133 , Dipodomys , spectabilis , Rodent 
 OT , 19 , Onychomys , torridus , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DO , 46 , Dipodomys , ordii , Rodent 
 DS , 108 , Dipodomys , spectabilis , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DS , 145 , Dipodomys , spectabilis , Rodent 
 DS , 93 , Dipodomys , spectabilis , Rodent 
 DS , 98 , Dipodomys , spectabilis , Rodent 
 DO , 42 , Dipodomys , ordii , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 OL , 36 , Onychomys , leucogaster , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 DS , 108 , Dipodomys , spectabilis , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 PP , 17 , Chaetodipus , penicillatus , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OL , 31 , Onychomys , leucogaster , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 PP , 11 , Chaetodipus , penicillatus , Rodent 
 PP , 11 , Chaetodipus , penicillatus , Rodent 
 DS , 59 , Dipodomys , spectabilis , Rodent 
 DS , 94 , Dipodomys , spectabilis , Rodent 
 DS , 68 , Dipodomys , spectabilis , Rodent 
 DS , 111 , Dipodomys , spectabilis , Rodent 
 DM , 23 , Dipodomys , merriami , Rodent 
 OT , 20 , Onychomys , torridus , Rodent 
 OL , 45 , Onychomys , leucogaster , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 OT , 17 , Onychomys , torridus , Rodent 
 DS , 94 , Dipodomys , spectabilis , Rodent 
 NA , 136 , Neotoma , albigula , Rodent 
 DS , 148 , Dipodomys , spectabilis , Rodent 
 OL , 24 , Onychomys , leucogaster , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DS , 106 , Dipodomys , spectabilis , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 OL , 27 , Onychomys , leucogaster , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 NA , 72 , Neotoma , albigula , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DS , 94 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 OT , 17 , Onychomys , torridus , Rodent 
 DS , 106 , Dipodomys , spectabilis , Rodent 
 PP , 15 , Chaetodipus , penicillatus , Rodent 
 DO , 45 , Dipodomys , ordii , Rodent 
 DS , 144 , Dipodomys , spectabilis , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 NA , 105 , Neotoma , albigula , Rodent 
 DO , 45 , Dipodomys , ordii , Rodent 
 OT , 28 , Onychomys , torridus , Rodent 
 OT , 30 , Onychomys , torridus , Rodent 
 DS , 93 , Dipodomys , spectabilis , Rodent 
 DS , 93 , Dipodomys , spectabilis , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 103 , Dipodomys , spectabilis , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 DS , 81 , Dipodomys , spectabilis , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DS , 87 , Dipodomys , spectabilis , Rodent 
 DS , 144 , Dipodomys , spectabilis , Rodent 
 DS , 117 , Dipodomys , spectabilis , Rodent 
 OT , 20 , Onychomys , torridus , Rodent 
 OT , 19 , Onychomys , torridus , Rodent 
 PP , 14 , Chaetodipus , penicillatus , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 OT , 18 , Onychomys , torridus , Rodent 
 OL , 29 , Onychomys , leucogaster , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 PE , 23 , Peromyscus , eremicus , Rodent 
 DS , 131 , Dipodomys , spectabilis , Rodent 
 OT , 31 , Onychomys , torridus , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 OT , 20 , Onychomys , torridus , Rodent 
 NA , 152 , Neotoma , albigula , Rodent 
 DS , 138 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 DS , 153 , Dipodomys , spectabilis , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DS , 106 , Dipodomys , spectabilis , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 PE , 24 , Peromyscus , eremicus , Rodent 
 OT , 19 , Onychomys , torridus , Rodent 
 PP , 14 , Chaetodipus , penicillatus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 OL , 34 , Onychomys , leucogaster , Rodent 
 OL , 34 , Onychomys , leucogaster , Rodent 
 OL , 46 , Onychomys , leucogaster , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 OL , 40 , Onychomys , leucogaster , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 OT , 29 , Onychomys , torridus , Rodent 
 DS , 119 , Dipodomys , spectabilis , Rodent 
 DS , 129 , Dipodomys , spectabilis , Rodent 
 OT , 22 , Onychomys , torridus , Rodent 
 OT , 24 , Onychomys , torridus , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 OL , 31 , Onychomys , leucogaster , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 PP , 14 , Chaetodipus , penicillatus , Rodent 
 DO , 26 , Dipodomys , ordii , Rodent 
 DO , 52 , Dipodomys , ordii , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 NA , 92 , Neotoma , albigula , Rodent 
 DO , 50 , Dipodomys , ordii , Rodent 
 DS , 151 , Dipodomys , spectabilis , Rodent 
 NA , 211 , Neotoma , albigula , Rodent 
 DO , 47 , Dipodomys , ordii , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 145 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
